revenue_month,monthly_revenue,growth_pct,num_transactions,quarter
2020-01-01,21878.65,Null,97,1
2020-02-01,42934.00,96.24,173,1
2020-03-01,55509.00,29.29,239,1
2020-04-01,75856.80,36.66,314,2
2020-05-01,104698.22,38.02,409,2
2020-06-01,118719.53,13.39,479,2
2020-07-01,136785.25,15.22,560,3
2020-08-01,152817.37,11.72,639,3
2020-09-01,173125.54,13.29,714,3
2020-10-01,192940.47,11.45,784,4
2020-11-01,204928.68,6.21,845,4
2020-12-01,233216.37,13.80,928,4
2021-01-01,255877.84,9.72,1003,1
2021-02-01,272235.86,6.39,1076,1
2021-03-01,294523.39,8.19,1148,1
2021-04-01,310300.14,5.36,1220,2
2021-05-01,341703.64,10.12,1304,2
2021-06-01,355305.03,3.98,1365,2
2021-07-01,375001.32,5.54,1436,3
2021-08-01,392048.98,4.55,1507,3
2021-09-01,408268.78,4.14,1578,3
2021-10-01,434149.35,6.34,1651,4
2021-11-01,454243.19,4.63,1722,4
2021-12-01,473586.10,4.26,1797,4
2022-01-01,490545.01,3.58,1857,1
2022-02-01,507189.26,3.39,1923,1
2022-03-01,525188.09,3.55,1997,1
2022-04-01,540437.13,2.90,2063,2
2022-05-01,560512.79,3.71,2139,2
2022-06-01,583187.55,4.05,2216,2
2022-07-01,606922.53,4.07,2301,3
2022-08-01,629543.52,3.73,2381,3
2022-09-01,648680.44,3.04,2457,3
2022-10-01,669862.45,3.27,2531,4
2022-11-01,686798.44,2.53,2602,4
2022-12-01,710072.80,3.39,2668,4
2023-01-01,726967.77,2.38,2742,1
2023-02-01,750224.92,3.20,2819,1
2023-03-01,765663.03,2.06,2888,1
2023-04-01,786189.51,2.68,2948,2
2023-05-01,799461.26,1.69,3016,2
2023-06-01,819801.91,2.54,3084,2
2023-07-01,842184.97,2.73,3159,3
2023-08-01,861231.12,2.26,3242,3
2023-09-01,878857.42,2.05,3295,3
2023-10-01,897699.37,2.14,3374,4
2023-11-01,915802.25,2.02,3445,4
2023-12-01,941023.75,2.75,3519,4
2024-01-01,955136.31,1.50,3577,1
2024-02-01,967856.84,1.33,3636,1
2024-03-01,992442.01,2.54,3717,1
2024-04-01,1003747.63,1.14,3776,2
2024-05-01,1031482.82,2.76,3848,2
2024-06-01,1055957.00,2.37,3916,2
2024-07-01,1075104.10,1.81,3988,3
2024-08-01,1107552.01,3.02,4094,3
2024-09-01,1129363.52,1.97,4160,3
2024-10-01,1143530.18,1.25,4222,4
2024-11-01,1166920.78,2.05,4282,4
2024-12-01,1180375.56,1.15,4348,4
